n_items,n_nests,max_iter,best_fitness,avg_time,std_dev
10,15,1000,337,0.0056068,0.000115547
25,15,1000,785,0.0101599,7.71355e-05
50,15,1000,1512,0.0175378,7.51742e-05
75,15,1000,2060,0.0248641,0.00011357
100,15,1000,2898,0.0324119,0.000126134
250,15,1000,6152,0.0765971,0.000333509
500,15,1000,0,0.149358,0.000143279
750,15,1000,0,0.222739,0.000416987
1000,15,1000,0,0.296364,0.000844056
2500,15,1000,0,0.736773,0.00141072
5000,15,1000,0,1.4694,0.0014376
7500,15,1000,0,2.20464,0.00397139
10000,15,1000,0,2.93719,0.00140493
