n_items,n_nests,max_iter,best_fitness,avg_time,std_dev
100,10,100,2769,0.0028492,3.35762e-05
500,10,100,0,0.0133184,5.89817e-05
1000,10,100,0,0.0263874,0.000104236
1000,15,100,0,0.0300696,6.51494e-05
1000,20,100,0,0.0373768,4.46985e-05
1000,20,300,0,0.110785,0.00049998
1000,20,1000,0,0.366978,0.000738365
2000,20,1000,0,0.728949,0.000227102
2000,30,3000,0,2.61026,0.00568121
5000,30,3000,0,6.51348,0.004029
5000,40,5000,0,13.5356,0.0121834
10000,40,10000,0,54.0162,0.120265
10000,50,20000,0,121.958,0.15783
20000,50,40000,0,487.867,0.0869534
30000,50,80000,0,1446.03,2.12279
