n_items,n_nests,max_iter,best_fitness,avg_time,std_dev
1000,5,1000,0,0.225465,0.00115664
1000,10,1000,0,0.260351,0.000379234
1000,15,1000,0,0.297651,0.00403924
1000,20,1000,0,0.368198,0.000869827
1000,25,1000,0,0.40385,0.000577939
1000,30,1000,0,0.441412,0.00341247
1000,40,1000,0,0.548727,0.00246038
1000,50,1000,0,0.61932,0.00121667
1000,60,1000,0,0.727847,0.00461108
1000,70,1000,0,0.79855,0.00279115
1000,80,1000,0,0.906171,0.00372205
1000,90,1000,0,0.976398,0.0013652
1000,100,1000,0,1.08257,0.00059502
